Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
A MARIE NURSING CARE LLC,,B078032,Home Plus,61 E DES MOINES AVE,SOUTH HUTCHINSON,RENO,KS,67505,JENNIFER ROETS,Inspection Results and Facility Details,316-293-8541
ABBA AGAPE CARE HOMES LLC,,B087196,Home Plus,223 BURR OAK ROAD,WICHITA,SEDGWICK,KS,67206,MARY HAYES,Inspection Results and Facility Details,316-806-9645
"ABBEY SENIOR CARE, LLC",CARRINGTON HOUSE CENTRAL,N087058, Residential Health Care Facility,1432 N WACO ST,WICHITA,SEDGWICK,KS,67230-,ANGELA MARIE HOFFMAN,Inspection Results and Facility Details,316-262-5516
ACCESS MENTAL HEALTH LLC,ACCESS MENTAL HEALTH,N057002,Mental Health Nursing Facility,500 PEABODY,PEABODY,MARION,KS,66866,LESA DECHANT,Inspection Results and Facility Details,620-983-2165
ACCORD SENIOR CARE INC ROCKWOOD,,B087153,Home Plus,6807 E ROCKWOOD ROAD,WICHITA,SEDGWICK,KS,67206,SHERI BAKER-BRUSTER,Inspection Results and Facility Details,316-927-2725
AGAPE HOME PLUS LLC,,B087245,Home Plus,6322 E PEACH TREE LANE,WICHITA,SEDGWICK,KS,67218,SARA RODRIGUEZ,Inspection Results and Facility Details,316-339-0076
AGAPE HOME PLUS LLC,AGAPE HOME PLUS ,B087268,Home Plus,6321 E PEACH TREE LANE,WICHITA,SEDGWICK,KS,67218,SARA RODRIGUEZ,Inspection Results and Facility Details,316-339-0076
AGEWISE LIVING INC,STERLING VILLAGE,N080003,Nursing Facility,204 W. WASHINGTON AVENUE,STERLING,RICE,KS,67579-1614,CYNTHIA L MOORE,Inspection Results and Facility Details,620-278-3651
AHC OF OVERLAND PARK LLC,ADVANCED HEALTH CARE OF OVERLAND PARK,N046091,Nursing Facility,4700 INDIAN CREEK PARKWAY,OVERLAND PARK,JOHNSON,KS,66207-4068,BRYAN PIPPITT,Inspection Results and Facility Details,913-890-8400
AHO LLC,AZRIA HEALTH OLATHE,N046023,Nursing Facility,201 E FLAMING ROAD,OLATHE,JOHNSON,KS,66061-5343,KRISTA CLARK,Inspection Results and Facility Details,913-829-2273
ALDERBROOK VILLAGE LLC,,N018010, Assisted Living Facility,402 E WINDSOR ROAD,ARKANSAS CITY,COWLEY,KS,67005-3866,HILLERY LEWIS,Inspection Results and Facility Details,620-442-4400
AMANI HOME PLUS,,B087231,Home Plus,1201 N PINECREST ST,WICHITA,SEDGWICK,KS,67208,ESTHER KARIOKI,Inspection Results and Facility Details,316-305-4142
