"","a0100b_cms_crtfctn_num","PASRR_SMI","CALC_SMI","BROAD_SMI","total_residents_dec_31","percent_hispanic","percent_white","percent_black","percent_asian","percent_indigenous","percent_pacific","percent_multi","PASRR_SMI_per_resident","CALC_SMI_per_resident","BROAD_SMI_per_resident","average_age","percent_below_65","Provider Name","Provider Address","Provider City","Provider State","Provider Zip Code","Provider Phone Number","Provider SSA County Code","Provider County Name","Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Overall Rating"
"1","055199",1,6,49,120,20,57.5,8.33333333333333,4.16666666666667,0.833333333333333,0,0,0.00833333333333333,0.05,0.408333333333333,72,30,"HORIZON HEALTH AND SUBACUTE CENTER","3034 E HERNDON","FRESNO","CA","93720",5593210883,"090","Fresno","For profit - Corporation",180,118.6,2
"2","055653",112,124,151,219,26.027397260274,49.3150684931507,5.47945205479452,14.6118721461187,0.45662100456621,0.91324200913242,0,0.511415525114155,0.5662100456621,0.689497716894977,58,55.2511415525114,"SOUTH COAST POST ACUTE","1030 W WARNER AVE","SANTA ANA","CA","92707",7145466450,"400","Orange","For profit - Corporation",255,243.6,5
"3","056090",69,78,112,130,13.0769230769231,74.6153846153846,3.07692307692308,2.30769230769231,0,1.53846153846154,0.769230769230769,0.530769230769231,0.6,0.861538461538462,66,46.1538461538462,"CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH","850 SONOMA AVE","SANTA ROSA","CA","95404",7075447750,"590","Sonoma","For profit - Corporation",181,134.9,3
"4","056417",143,147,147,147,22.4489795918367,46.2585034013605,19.047619047619,8.16326530612245,0,0,0,0.972789115646258,1,1,45,95.9183673469388,"VIEW HEIGHTS CONV HOSP","12619 S. AVALON BLVD","LOS ANGELES","CA","90061",3237571881,"200","Los Angeles","For profit - Corporation",163,143.6,4
"5","05A024",91,152,153,155,16.1290322580645,67.0967741935484,9.03225806451613,5.16129032258065,0.645161290322581,1.29032258064516,0,0.587096774193548,0.980645161290323,0.987096774193548,66,46.4516129032258,"CRESTWOOD MANOR - 112","1400 CELESTE DR.","MODESTO","CA","95355",2095268050,"600","Stanislaus","For profit - Corporation",194,155.2,4
"6","05A027",114,116,116,116,28.448275862069,20.6896551724138,45.6896551724138,4.31034482758621,0,0,0,0.982758620689655,1,1,48,95.6896551724138,"SIERRA VISTA","3455 EAST HIGHLAND AVE","HIGHLAND","CA","92346",9098626454,"460","San Bernardino","For profit - Limited Liability company",116,115.7,5
"7","05A109",148,149,149,149,32.8859060402685,36.9127516778523,19.4630872483221,8.7248322147651,0.671140939597315,1.34228187919463,0,0.993288590604027,1,1,47,93.2885906040269,"COMMUNITY CARE CENTER","2335 S. MOUNTAIN AVE","DUARTE","CA","91010",6263573207,"200","Los Angeles","For profit - Individual",167,149.8,2
"8","05A134",94,94,94,94,28.7234042553192,38.2978723404255,21.2765957446809,6.38297872340426,2.12765957446809,2.12765957446809,0,1,1,1,37.5,100,"LANDMARK MEDICAL CENTER","2030 N. GAREY AVE.","POMONA","CA","91767",9095932585,"200","Los Angeles","For profit - Corporation",95,94.2,4
"9","05A137",37,42,42,42,26.1904761904762,30.952380952381,40.4761904761905,0,0,0,0,0.880952380952381,1,1,47,97.6190476190476,"LAUREL PARK BEHAVIORAL HEALTH CENTER","1425 LAUREL AVENUE","POMONA","CA","91767",9096221069,"200","Los Angeles","For profit - Corporation",43,43,2
"10","05A147",92,91,92,92,32.6086956521739,52.1739130434783,7.60869565217391,5.43478260869565,2.17391304347826,0,0,1,0.989130434782609,1,45,96.7391304347826,"MERCED BEHAVIORAL CENTER","1255 B STREET","MERCED","CA","95340",2097238814,"340","Merced","For profit - Limited Liability company",96,93.8,3
"11","05A164",118,76,76,119,31.0924369747899,22.6890756302521,26.890756302521,4.20168067226891,0,0,0,0.991596638655462,0.638655462184874,0.638655462184874,36,99.1596638655462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","05A208",69,78,78,78,41.025641025641,28.2051282051282,23.0769230769231,2.56410256410256,0,0,0,0.884615384615385,1,1,41.5,100,"SHANDIN HILLS BEHAVIOR THERAPY CENTER","4164 NORTH 4TH AVENUE","SAN BERNARDINO","CA","92407",9098866786,"460","San Bernardino","For profit - Corporation",78,77.8,5
"13","05A263",111,105,105,112,36.6071428571429,33.9285714285714,11.6071428571429,14.2857142857143,0,0.892857142857143,0,0.991071428571429,0.9375,0.9375,43,100,"RIVERSIDE BEHAVIORAL HEALTHCARE CENTER","4580 PALM AVENUE","RIVERSIDE","CA","92501",9516847701,"430","Riverside","For profit - Corporation",120,116.4,5
"14","05A264",105,104,105,105,16.1904761904762,66.6666666666667,9.52380952380952,1.9047619047619,0,0,0,1,0.99047619047619,1,51,80,"VISTA PACIFICA CENTER","3674 PACIFIC AVENUE","RIVERSIDE","CA","92509",9516824833,"430","Riverside","For profit - Individual",108,106.9,4
"15","05A269",77,74,75,77,40.2597402597403,24.6753246753247,22.0779220779221,11.6883116883117,0,0,0,1,0.961038961038961,0.974025974025974,49,94.8051948051948,"MEADOWBROOK BEHAVIORAL HEALTH CENTER","3951 EAST BLVD.","LOS ANGELES","CA","90066",3103918266,"200","Los Angeles","For profit - Corporation",77,76.9,5
"16","05A277",104,108,110,110,13.6363636363636,42.7272727272727,10.9090909090909,24.5454545454545,0.909090909090909,0,0,0.945454545454545,0.981818181818182,1,61.5,58.1818181818182,"INSPIRE BEHAVIORAL HEALTH","401 RIDGE VISTA AVENUE","SAN JOSE","CA","95127",4089237232,"530","Santa Clara","For profit - Corporation",116,107.6,4
"17","05A340",176,176,176,176,9.09090909090909,64.7727272727273,18.75,6.81818181818182,0.568181818181818,0,0,1,1,1,68,30.1136363636364,"CRESTWOOD MANOR - 104","1130 MONACO COURT","STOCKTON","CA","95207",2094782060,"490","San Joaquin","For profit - Corporation",190,175.8,5
"18","05A355",144,148,148,148,21.6216216216216,29.054054054054,33.1081081081081,9.45945945945946,0,0.675675675675676,0,0.972972972972973,1,1,66.5,34.4594594594595,"LA PAZ GEROPSYCHIATRIC CENTER","8835 VANS STREET","PARAMOUNT","CA","90723",5626335111,"200","Los Angeles","For profit - Corporation",173,146,3
"19","05A360",41,46,46,47,44.6808510638298,21.2765957446809,27.6595744680851,4.25531914893617,2.12765957446809,0,0,0.872340425531915,0.978723404255319,0.978723404255319,37,100,"PENN MAR THERAPEUTIC CENTER","3938 COGSWELL ROAD","EL MONTE","CA","91732",6264011557,"200","Los Angeles","For profit - Corporation",45,43.9,5
"20","05A371",94,95,95,95,6.31578947368421,86.3157894736842,5.26315789473684,0,2.10526315789474,0,0,0.989473684210526,1,1,56,66.3157894736842,"CRESTWOOD WELLNESS AND RECOVERY CENTER","3062 CHURN CREEK RD.","REDDING","CA","96002",5302210976,"550","Shasta","For profit - Corporation",99,93.3,5
"21","05A397",190,198,199,199,27.6381909547739,42.2110552763819,17.0854271356784,8.04020100502512,0,1.00502512562814,0.50251256281407,0.954773869346734,0.994974874371859,1,45,93.4673366834171,"SYLMAR HLTH REHAB CTR","12220 FOOTHILL BLVD.","SYLMAR","CA","91342",8188345082,"200","Los Angeles","For profit - Corporation",208,202.8,2
"22","05A427",85,109,112,113,10.6194690265487,45.1327433628319,29.2035398230088,14.1592920353982,0.884955752212389,0,0,0.752212389380531,0.964601769911504,0.991150442477876,67,39.8230088495575,"CRESTWOOD MANOR - FREMONT","4303 STEVENSON BOULEVARD","FREMONT","CA","94538",5106511244,"000","Alameda","For profit - Corporation",126,112,5
"23","555128",100,100,131,176,31.8181818181818,38.0681818181818,11.9318181818182,8.52272727272727,2.27272727272727,0,0,0.568181818181818,0.568181818181818,0.744318181818182,68,38.6363636363636,"DOWNEY COMMUNITY HEALTH CENTER","8425 IOWA STREET","DOWNEY","CA","90241",5628626506,"200","Los Angeles","For profit - Partnership",198,176.3,2
"24","555140",53,54,56,56,14.2857142857143,58.9285714285714,14.2857142857143,7.14285714285714,1.78571428571429,0,0,0.946428571428571,0.964285714285714,1,58.5,71.4285714285714,"BRADLEY COURT","675 E BRADLEY","EL CAJON","CA","92021",6194486633,"470","San Diego","For profit - Corporation",56,54.2,5
"25","555211",58,54,65,88,28.4090909090909,38.6363636363636,2.27272727272727,30.6818181818182,0,0,0,0.659090909090909,0.613636363636364,0.738636363636364,61,55.6818181818182,"EXTENDED CARE HOSPITAL OF WESTMINSTER","206 HOSPITAL CIRCLE","WESTMINSTER","CA","92683",7148912769,"400","Orange","For profit - Partnership",99,91,2
"26","555244",0,12,32,37,32.4324324324324,54.0540540540541,10.8108108108108,2.7027027027027,0,0,0,0,0.324324324324324,0.864864864864865,75,27.027027027027,"ANBERRY NURSING AND REHABILITATION CENTER","1685 SHAFFER RD","ATWATER","CA","95301",2093573420,"340","Merced","For profit - Corporation",99,39.3,2
"27","555388",55,69,98,129,21.7054263565891,48.062015503876,2.32558139534884,16.2790697674419,0,0.775193798449612,0.775193798449612,0.426356589147287,0.534883720930233,0.75968992248062,67,46.5116279069767,"WEST ANAHEIM EXTENDED CARE","645 SOUTH BEACH BLVD.","ANAHEIM","CA","92804",7148211993,"400","Orange","For profit - Partnership",138,135.7,3
"28","555611",91,88,91,91,5.49450549450549,43.956043956044,35.1648351648352,13.1868131868132,0,1.0989010989011,0,1,0.967032967032967,1,70,15.3846153846154,"MORTON BAKAR CENTER","494 BLOSSOM WAY","HAYWARD","CA","94541",5105827676,"000","Alameda","For profit - Corporation",97,90.8,5
"29","555744",10,41,52,57,8.7719298245614,75.4385964912281,7.01754385964912,3.50877192982456,0,1.75438596491228,0,0.175438596491228,0.719298245614035,0.912280701754386,67,49.1228070175439,"SIENA SKILLED NURSING AND REHABILITATION CENTER","11600 EDUCATION STREET","AUBURN","CA","95603",5308890707,"410","Placer","For profit - Limited Liability company",107,69.4,5
"30","555887",91,90,91,91,28.5714285714286,45.0549450549451,18.6813186813187,5.49450549450549,1.0989010989011,0,0,1,0.989010989010989,1,58,64.8351648351648,"LAKESIDE SPECIAL CARE CENTER","11962 WOODSIDE AVENUE","LAKESIDE","CA","92040",6195611222,"470","San Diego","For profit - Corporation",94,91.2,5
